point,n. 尖，点；地点；分数，得分；论点；重点；指出；强调
mark,n. 痕迹，记号；分数 vt. 标记； 表明；打分；使有特色；注意，留心
follow,n. vi./vt. 跟随，接着；领会；沿着...前进，遵守
state,n. 状态，情况；国，州 vt. 陈述，说明；规定
direction,n. 方向，方位；指令，说明，指南；方面；目标；管理
sheet,n. 被单；薄片；大片；一张纸
rate,n. 比率；速率；等级；价格，费用
section,n. 部分；部件；阶层；地区，部门，科；剖面；段；节
following,a. 下列的，下述的；其次的，接着的
choice,n. 选择；入选者
change,n. 改变，变化；零钱 vt. 更换，调换，交换；改变
respond,vi./vt. 回答，响应；反应灵敏，作出反应
choose,vt./vi. 选择，挑选；甘愿
corresponnding,adj. 相当的，对应的；通信的；符合的；一致的 v. 相符合；类似；相配
give,vt. 给，给予，供给；发表；献出 vi. 捐献
complete,a. 完全的，圆满的 vt. 完成，结束；填写
energy,n. 活力，精力；能，能量；能源
important,a. 重要的，重大的；有地位的，有权力的
education,n. 教育，培养，训练
health,n. 健康，健康状况；卫生
translation,n. 翻译，译文；译本
increase,vt./vi./n. 增加，增长，增进
tend,vi./vt. 易于；趋向，倾向，往往是；照料，看护，护理
research,vi./vt./n. 研究，调查
sign,n. 标记，符号；招聘；征兆，迹象 vi./vt. 签名，打手势，示意
social,a. 社会的；社会地位的；交际的，社交的；群居的
information,n. 通知，报告；情报，资料；消息；信息
found,vt. 建立；创立；创办；建议在...基础上；使有根据；铸造，熔铸
business,n. 商业，生意；事务，业务，职责
bar,n. 条状物；酒吧，栅，闩，障碍 vt. 闩上
environment,n. 环境，外界，周围的情况
technology,n. 科学技术；工业技术；应用科学
comprehensive,a. 内容广泛的，总括性的，综合的；全部的；详尽的
look,vi./n. 看，注视 vi./vt. 好像，显得；朝向 n. 外表，脸色；风格
own,a./pron. 自己的 vt. 有，拥有
hard,a. 坚硬的；难忍的；强硬的 a./ad. 困难的；努力的
effect,n. 结果；效果；影响；印象；财产 vt. 招致；使发生；实现
result,n. 结果，成绩；vi. 结果；致使，由...而造成
program,n. 方案；节目；计划，规划；课程 vt. 编程序；计划，安排
bracket,n. 括号；托架；分类，档次 vt. 支撑；将...置于同一范畴
hand,n. 手；帮助；指针；专门业人员 vt. 支持；交给，递给
experience,n./vt. 经验；经历；体验；阅历
learning,n. 学问，学术，知识。 v. 学习
statement,n. 声明，陈述；结算单；评估报告
blank,a. 空白的，空着的；失色的；茫然的 n. 空白；表格；空虚
example,n. 例子，实例；模范，榜样
means,n. 方法，手段，工具；金钱，财产
public,a. 公共的，公有的；公开的，公然的 n. 公众，民众
personal,a. 个人的，私人的；亲自的；身体的，人身的
refer,vt./vi. 参考，查询；提到，引用 vt. 描述；提交，上呈
build,vt. 建造，建筑；建设，建立 vi. 增大，增强
come,vi. 来；进行；出现于，产生；是，成为；开始，终于
different,a. 差异的，不同的；各种的
individual,a. 个人的，单独的；独特的 n. 个人，个体；有某种特点的人
move,vt./vi. 移动；活动；感动 n. 移动；一步；活动，行动
teach,vt./vi. 教，讲授；讲课
tire,vi/vt. （使）疲倦，厌倦 n. 轮胎，车胎
marriage,n. 结婚，婚姻；结婚仪式
tradition,n. 传统；惯例；传说
composition,n. 作品，作文，乐曲；结构
success,n. 成就，成功；成功的事物，有成就的人
base,n. 基础；根据；出发点；主要成分；总部 vt. 把...基于；作...的基础；驻扎，设立
medical,a. 医学的，医疗的，医药的；内科的
government,n. 政府，内阁；管理，支配；政治，政体
cause,n. 原因；事业，事件，奋斗目标 vt. 使产生，引起
resent,n. vt. 对...表示怨恨
special,a. 特殊的；特别关照的；附加的 n. 特别活动
common,a. 普通的；共同的；一般的 n. 公有地；共性
communication,n. 通讯，传达；交流；pl. 通讯系统；交通
disease,n. 疾病
allow,vt. 准许；接受；承认 vi. 容许；猜想，认为
relation,n. 关系，联系；亲属，亲戚
control,vt./n 控制，支配；限制，管理
population,n. 人口，族群，某领域的人
believe,vt. 相信，认为 vi. 相信，信任，信奉
company,n. 公司；陪伴；同伴；宾客
goal,n. 目的，目标；进球
translate,vt./vi. 翻译，解释；转化
understand,vt./vi. 懂，理解，了解；揣测，认为 vt. 获悉，听说
call,vt. 叫，喊，召唤；取名，称为；看作 n. 叫
internet,n. 国际互联网，因特网
provide,vt./vi. 供应，供给；准备；预防
consumer,n. 消费者，顾客；取食者
difficult,a. 困难的，艰难的；难对付的，不易相处的
limit,n. 界限，限度，极限，范围 vt. 限制，限定
physical,a. 物质的；肉体的，身体的；自然科学的，物理的
suggest,vt. 建议，提出；推荐；使联想，使想起，使认为；暗示
underline,vt. 在...下划线；强调
effort,n. 努力，成就；艰难的尝试
expect,vi./vt 预期；期望，盼望；要求，指望；认为
group,n. 群，组；集团 vi. 成组，聚集
patient,a. 有耐心的，能忍耐的 n. 病人，患者
species,n. 物种，种类
bring,vt. 拿来，带来；产生，引起
except,prep. 除...之外 vt. 除外 vi. 反对
power,n. 力，精力，能量；功率，电力；权力；势力
produce,vt./vi. 生产，制造；导致，栽培 n. 产品，农产品
project,n. 计划；工程；专题研究 vt./vi. 规划；发射；伸出
sleep,vi. 睡 n. 睡眠
avoid,vt. 防止，避免；逃避，避开
decide,vi./vt.决定；解决，判决
improve,vt. 改善，改进，增进 vi. 好转，进步
nuclear,a. 核心的，中心的；原子核的，核能的
popular,a. 流行的，通俗的，大众的；广受欢迎的
stem,n. 茎，干，柄；词干 vt. 堵 vi. 起源于，由...造成
express,vt. 表达； 流露 a. 特快的 n. 快递服务 a. 使用快速服务
invest,vt. 投资，投入
reduce,vt./vi. 减少，缩小，降低 vt. 简化，概括；还原
penalty,n. 处罚，刑罚，罚金
unite,vi. 联合；统一，合并 vt. 使联合
harm,n./vt. 伤害，损害，危害
affect,vt. 影响；打动 n. 情感，感情
general,a. 全面的，普通的；概括性的；普通的；总的 n. 将军
miss,n. 小姐 vt. 思念； 未击中；错过，漏掉；逃脱
object,n. 物体，物品；客体，对象；目标，宗旨；宾语 vi. 反对
particular,a. 特殊的；专指的，个别的 n. 详情，细节；特色
require,vt. 需求；要求，命令
risk,vt. 冒...的危险，使...面临危险 n. 冒险；风险
support,n./vt. 支撑；支持；赡养；资助；维持 n. 支持者
system,n. 系统，体系；制度；方法；方式，步骤
involve,vt. 卷入，陷入，连累；包含；涉及
lack,n./vi./vt. 缺乏，不足
nurber,vt./n. 谋杀，凶杀
manage,vi./vt. 完成；经营，对付；操纵
natural,a. 正常的，自然的；天热的，天赋的
situation,n. 形势，处境，状况；位置，场所；职位
society,n. 社会；社团，协会，社；社交界，上流社会
attention,n. 注意，注意力；立正；特别照顾；照样
disable,vt. 使残废；丧失能力；使无效；使不能正常运行
present,a. 出席的；存在的；现在的 n. 目前，现在；礼物 vt. 赠送；授予；介绍；显示
protect,vt. 保护，保卫
scientific,a. 科学上的；符合科学逻辑的
source,n. 源，源泉；起源 vt. 从...获得
standard,n. 标准，规则 a. 标准的
suit,vi./vt. 合适；相配，适应 n. 一套西服；诉讼
achieve,vt. 实现，完成；达到，得到 vi. 达到预期目的
describe,vt. 描述，形容，描写
development,n. 发展，进化；被发展的状态；新生事物，新产品；开发区
effective,a. 有效的，生肖的；被实施的；给人深刻印象；事实上的
error,n. 错误，过失
free,a. 自由的；免费的；免税的；空闲的 vt. 释放，使自由；使摆脱
history,n. 历史，历史学；来历，经历
income,n. 收入，收益，所得
incomplete,adj. 不完全的；未完成的；不完备的
leave,vi./vt. 离开；留下，忘带；让，听任
local,a. 地方的，当地的；局部的 n. 当地人
position,n. 位置；状况；地位；职位；姿势；见解
retire,vi./vt. 退休，引退；退却，撤退；就寝；退出
routine,n. 例行公事，常规；乏味 a. 常规的，例行的；乏味的
sense,n. 感官；感觉；判断力；意思，意义 vt. 觉得，意识到
spread,vi./vt./n. 伸开，传播
amount,n. 数量，数额；金额 vt. 共计；等同，接近
finding,n. 发现，研究结果
hold,vt. 拿着；保有，保持；支撑；举行 n. 拿，捏，抓，托
conversation,n. 会话，谈话
relationship,n. 关系，联系
disabled,adj.残废的，有缺陷的； v. 使无能力（过去式）；使伤残；使无效
future,n. 将来，未来；前途，前景 a. 将来的，未来的
matter,n. 物质，物体；毛病，麻烦；事情 vi. 有关系，要紧
mosquito,n. 蚊子
profit,n. 利润；好处 vi. 获益 vt. 有利于
purpose,n. 目的，意图；用途，效果；重要意义
quality,n. 质量，品质，特性
review,vi./vt. 回顾，复习；反思；n. 回顾，复习，品论
strict,a. 严格的，严厉的；严密的
averange,n. 平均，平均数 a. 平均的；普通的 vt./vi. 平均
available,a. 可利用的，可获得的； 有空的；可见到的，接受采访的
benefit,n. 利益，好处，恩惠；优势 vt./vi. 有益于，收益
course,n. 课程，教程；过程；处理方式；航线
decade,n. 十年
demand,n./vi./vt. 要求，请求，需求量 vi./vt. 查问
difference,n. 差别，差异；差额；意见分歧
economic,a. 经济上的，经济学的；有利可图的
genetic,a. 基因的;遗传的 n. 遗传学
happen,vi. 偶然发生，碰巧
national,a. 民族的，国家的，国立的 n. 公民
sight,n. 视力；望见；眼界；情景，风景
similar,a. 相似的，类似的
crime,n. 罪行，犯罪
fail,vi./vt. 失败；不及格；失灵；衰退 n. 考试不及格
form,n. 形状，形式；表格；类型 vi./vt. 组成，构成；形成；成型
measure,vi./vt. 测量，权衡 n. 计量法；措施，办法
mental,a. 思想的；精神健康的；发疯的
occur,vi. 发生，存在；想起
production,n. 生产，产生；总产量 n. 产品，成果
contact,vt./vi./n. (使)接触，交往
contest,n. 竞争，比赛；争夺  vt./vi. 竞争，比赛，争论
continue,vt./vi. 继续，连续； 移动，延伸
cost,n. 成本，费用，代价 vt. 价值未，花费；付出代价
damage,vt./vi./n. 损害，损坏 n. 损害赔偿费
deep,a. 深的，深入的 ad. 深入地
drop,n. 滴，滴状物；下降 vi./vt. 落下；下降；倒下；略去；抛弃
employee,n. 雇工，雇员
establish,vt. 建立；安置，得到认同
explain,vi./vt. 解释，说明
fear,n. 害怕，恐惧；危险 vt. 畏惧，害怕，担心
focus,n. 焦点，中心 vi./vi. 聚焦，集中于
fuction,n. 功能，作用；职责；pl. 职务； 函数 vi. 起作用，运转
importance,n. 重要，重要性
limited,a. 有限的
mind,n. 头脑；精神、理智，思维 vt. 注意；照料；介意，反对
name,n. 名字；名人； vt. 给...取名；列举；提名
performance,n. 履行、工作；表演；性能；成绩
practice,n./vi./vt. 练习，实习，实践 n. 工作，业务；惯例，习惯
treat,n. 恐吓，威胁，危险迹象
accident,n. 意外遭遇，事故； 意外
advance,n. 前进，预付 vi. 前进，进展 vt. 促进，推进；预付
conservation,n. 保护；保存。保守，预付流失；守恒，不灭
easy,a. 容易的；安逸的； 从容的
include,vt. 包括，包含，计入，使...成为一部分
maintain,vt. 维修；保留；供养；坚持，主张；支持
professional,a. 职业的；专门的；精通业务的 n. 自由职业者；专业人员；内行
relate,vi./vt 使互相关联；证明...有关联
replace,vt. 取代，更新，代替；把...放回原处
resist,vi./vt. 抵抗，反抗；忍得住；使不受...的伤害
response,n. 回答，响应；反应
seed,n. 种子 vi./vt. 播种；结籽
stopping,n. 购物，买东西;工作室；车间 vi. 选购 vt.逛
visual,a. 看的，看得见的;视觉的 n. 视觉资料，画画，图像
volunteer,n./vt./vi. 意愿
aggressive,a. 侵略的；积极进取的
alter,vt. 改变，更改；改做 vi. 改变，变化
attitude,n. 态度，看法
attract,vt. 吸引；引起
career,n. 事业、专业，生涯，职业，经历
collect,vt./vi. 收集；聚集；募捐，收账
electronic,a. 电子的；电子设备的
engineer,n. 工程师 vi./vt. 密谋，策划；设计，建造
force,
influence,
nature,
organization,
potentail,
process,
solution,
subject,
successful,
therefore,
tired,
belief,
carbon,
carry,
determine,
dress,
enable,
exist,
gap,
growth,
identify,
mention,
organic,
origin,
pay,
practical,
predict,
regard,
save,
simple,
transmit,
account,
aim,
case,
casual,
close,
condition,
concept,
consider,
create,
current,
develop,
evidence,
infer,
major,
method,
reflect,
pressure,
publish,
respect,
simply,
stress,
tempt,
trend,
traffic,
accept,
access,
adult,
advantage,
aware,
challenge,
consumption,
contribute,
emotion,
extra,
figure,
glue,
image,
impair,
impression,
manner,
lump,
proper,
realize,
revolution,
transport,
argue,
convention,
design,
dioxide,
handle,
hope,
lie,
attack,
contain,
mobile,
obtain,
progress,
solve,
survey,
unique,
wildlife,
agency,
annual,
audience,
basis,
chance,
coverage,
deal,
drought,
drug,
emergency,
equal,
expand,
graduate,
harmful,
impact,
investment,
issue,n. 问题，争端；期号 vt./n. 发行 分发；发布
objective,
per,
prefer,
qualify,
represent,
revenge,
stereotype,
advanced,
attempt,
cancer,
centre,
concern,
clean,
cope,
decline,
disaster,
electric,
entire,
estimate,
expression,
extinct,
freedom,
further,
gain,
hardly,
management,
occasion,
organism,
perception,
reserve,
resource,
restrict,
sequence,
supply,
target,
temporary,
tpical,
upper,
achievement,
alert,
argument,
barrier,
community,
conclusion,
confidence,
critical,
custom,
detail,
distinguish,
dream,
exception,
executive,
experiment,
float,
fundamental,
generation,
grow ,
immediate,
industrial,
institution,
interact,
interest,
loss,
normal,
observe,
organize,
outline,
pattern,
positive,
previous,
proportion,
propose,
recommend,
regular,
resistant,
shift,
strength,
suface,
tide,
trade,
unusual,
various,
vast,
association,
alive,
balance,
construction,
conventional,
cheque,
deliver,
draw,
economy,
emerge,
essential,
examination,
exact,
extreme,
generally,
imagine,
interesting,
location,
majority,
manager,
married,
partly,
political,
polite,
range,
rare,
regulation,
reject,
relative,
responsible,
rude,
security,
significant,
suppose,
transfer,
acquire,
analysis,
apply,
approve,
breed,
civilization,
claim,
clinic,
clue,
colleague,
complain,
complex,
concerning,
conduct,
consume,
contract,
creature,
depression,
discovery,
disorder,
eliminate,
emotional,
employ,
end ,
engineering ,
eventually,
expensive,
fashion,
gasoline,
gym,
healthy,
identical,
intelligence,
intend,
introduce,
judge,
learned,
lose,
obstacle,
overseas,
perfect,
provided,
remark,
reluctant,
reward,
shake,
term,
threaten,
transportation,
victim,
vital,
understanding,
worried,
academic,
addition,
aid,
ancient,
appropriate,
arithmetic,
arrangement,
aspect,
atmosphere,
blame,
block,
capable,
catch,
characteristic,
chemical,
commitment,
conscious,
contrast,
contribution,
corporation,
crisis,
decision,
desire,
desperate,
disturb,
earn,
employer,
equipment,
expectation,
explanation,
feedback,
flower,
formal,
furniture,
ground,
guide,
harvest,
historical,
hurt,
ideal,
improvement,
inflation,
initial,
intention,
invent,
marry,
mood,
native,
offer,
opponent,
packet,
phenomenon,
physician,
promote,
rational,
reasonable,
reservation,
responsibility,
scent,
sector,
specific,
staff,
substance,
substitute,
succeed,
surrender,
suspect,
technique,
tribe,
vehicle,
asborb,
acquisition,
adjust,
affection,
agriculture,
appeal,
approach,
art,
assign,
attend,
broadcast,
collapse,
comparison,
connect,
constant,
criminal,
curious,
customer,
decrease,
define,
despite,
diminish,
direct ,
discuss,
distribute,
elect ,
encounter,
encourage,
entertainment,
fatal,
feature,
finance,
financial,
flavor,
flexible,
former,
foundation,
guard,
household,
hydrogen,
imagination,
imply,
iherit,
insert,
insight,
instance,
intelligent,
isolate,
jazz,
labor,
lock ,
logical,
mystery,
notion,
parental,
partial,
philosopher,
purchase,
qualification,
reinforce,
remove,
requirement,
reputation,
satisfaction,
severe,
sort,
steady,
stick,
strengthen,
surroundings,
technical,
transform,
trap,
variety,
voluntary,
adequate,
adopt,
associate,
automobile,
beyond,
blind,
boost,
brand,
cable,
candidate,
characteristic,
climb,
club,
commercial,
competition,
concentrate,
consequence,
courtesy,
description,
destroy,
detect,
district,
document,
due,
enormous,
escape,
evaluate,
exchange,
extent,
extremely,
failure,
fault,
favourable,
fiction,
fit,
flood,
fortune,
fossil,
garage,
gather,
gene,
globe,
guarantee,
hang,
ignore,
multiple,
neglect,
nutrient,
option,
overcome,
possess,
press,
prestige,
pretty,
private,
procedure,
product,
promise,
prosperity,
psychological,
punishment,
release,
relevant,
reveal,
scan,
scheme,
scope,
senior,
sensitive,
sharp,
significance,
software,
spiritual,
spot,
status,
suitable,
surround,
survive,
switch,
tough,
universal,
vacation,
via,
vulnerable,
widespread,
accelerate,
accumulate,
affair,
alliance,
alternative,
annoy,
application,
appointment,
assistance,
assume,
atom,
attach,
attain,
background,
band,
beneath,
budget,
channel,
circumstance,
clone,
code,
collection,
collective,
comfortable,
comment,
commission,
communicate,
component,
compose,
conclude,
concrete,
consist,
content,
convenient,
convey,
convince,
coworker,
cultivate,
debate,
deliberate,
delivery,
demonstrate,
descend,
diagnosis,
diffculty,
discipline,
doubt,
dwell,
ecosystem,
efficiency,
electrical,
electricity,
employment,
ensure,
execution,
expansion,
expenditure,
exploit,
explore,
explosion,
extend,
extensive,
facilitate,
fraction,
funeral,
furthemore,
genuine,
hammer,
historian,
hostile,
impose,
increasingly,
independent,
indicate,
initiative,
insist,
instant,
instruct,
insurance,
investigate,
invite,
label,
leading,
likewise,
loud,
manufacture,
mission,
opportunity,
oppose,
orient,
orientation,
overall,
physics,
pioneer,
policy,
pour,
powerfull,
preference,
prominent,
property,
proposal,
psychology,
recipe,
recognize,
replacement,
rescue,
resemble,
resident,
rural,
scarce,
shock,
smile,
spouse,
steel,
strip,
sufficient,
tendency,
tense,
thread,
tiny,
tolerate,
ultimate,
undermine,
website,
witness,
abandon,
abnormal,
absolute,
acceptable,
accomplish,
additional,
adverse,
advertisement,
advocate,
afford,
anchor,
anger,
antibiotic,
arouse,
attribute,
authority,
availability,
bamboo,
ban,
battery,
blog,
bound,
chart,
chocolate,
christmas,
chronic,
civilizse,
comic,
complicated,
confident,
confuse,
connection,
credit,
criticizse,
curiosity,
delay,
delight,
depend,
dependent,
derive,
director,
disappear,
display,
distract,
dominate,
double,
drain,
drastic,
drift,
dynamic,
ease,
economical,
elementary,
emphasis,
emphasizse,
enclose,
equip,
excellent,
excessive,
exclusive,
existence,
expense,
exposure,
favour,
feasible,
firm,
forbid,
generate,
handicap,
harsh,
hazard,
hesitate,
highlight,
holiday,
honour,
hormone,
illustrate,
impatient,
implication,
industrializse,
igngredient,
inhabit,
initiate,
insect,
inspect,
instruction,
insult,
interaction,
invention,
latin,
leadership,
lean,
liable,
locate,
mechanism,
military,
misery,
mutual,
mysterious,
nation,
nervous,
neutral,
obesity,
observation,
observer,
occuption,
offspring,
opposite,
optimistic,
optional,
ownership,
pace,
participate,
compassion,
permit,
petrol,
philosophy,
poisonous,
prediction,
prejudice,
preserve,
publication,
pump,
react,
realistic,
rebel,
recall,
regulate,
relief,
remote,
remind,
resort,
retrieve,
reverse,
rhythm,
satisfy,
scold,
skilled,
slight,
strategy,
stretch,
strike,
struggle,
stubborn,
subsequent,
symptom,
temper,
tension,
tolerance,
track,
transmission,
tremendous,
undertake,
urban,
utilizse,
vain,
vanish,
vivid,
waterproof,
